(93251, 93253, 93257)
(93281, 93283, 93287)
(93487, 93491, 93493)
(93491, 93493, 93497)
(93553, 93557, 93559)
(93557, 93559, 93563)
(93887, 93889, 93893)
(94541, 94543, 94547)
(95083, 95087, 95089)
(95087, 95089, 95093)
(96821, 96823, 96827)
(96997, 97001, 97003)
(97001, 97003, 97007)
(97367, 97369, 97373)
(97547, 97549, 97553)
(97577, 97579, 97583)
(97607, 97609, 97613)
(97841, 97843, 97847)
(97843, 97847, 97849)
(98317, 98321, 98323)
(98321, 98323, 98327)
(98711, 98713, 98717)
(98867, 98869, 98873)
(98893, 98897, 98899)
(99131, 99133, 99137)
(99133, 99137, 99139)
(99523, 99527, 99529)
(99707, 99709, 99713)
(100357, 100361, 100363)
(100517, 100519, 100523)
(101107, 101111, 101113)
(101111, 101113, 101117)
(101113, 101117, 101119)
(101203, 101207, 101209)
(101527, 101531, 101533)
(101531, 101533, 101537)
(101833, 101837, 101839)
(102101, 102103, 102107)
(102197, 102199, 102203)
(102497, 102499, 102503)
(102673, 102677, 102679)
(103087, 103091, 103093)
(103387, 103391, 103393)
(103837, 103841, 103843)
(103963, 103967, 103969)
(103991, 103993, 103997)
(104677, 104681, 104683)
(105527, 105529, 105533)
(106213, 106217, 106219)
(106273, 106277, 106279)
(106537, 106541, 106543)
(106657, 106661, 106663)
(106747, 106751, 106753)
(106781, 106783, 106787)
(106957, 106961, 106963)
(107713, 107717, 107719)
(107837, 107839, 107843)
(108007, 108011, 108013)
(108187, 108191, 108193)
(108287, 108289, 108293)
(108457, 108461, 108463)
(108497, 108499, 108503)
(108877, 108881, 108883)
(108881, 108883, 108887)
(108943, 108947, 108949)
(109841, 109843, 109847)
(109843, 109847, 109849)
(110563, 110567, 110569)
(110567, 110569, 110573)
(110917, 110921, 110923)
(110921, 110923, 110927)
(111487, 111491, 111493)
(111491, 111493, 111497)
(111827, 111829, 111833)
(112247, 112249, 112253)
(112571, 112573, 112577)
(113017, 113021, 113023)
(113021, 113023, 113027)
(113143, 113147, 113149)
(113147, 113149, 113153)
(113167, 113171, 113173)
(113171, 113173, 113177)
(113357, 113359, 113363)
(113717, 113719, 113723)
(113777, 113779, 113783)
(114193, 114197, 114199)
(114197, 114199, 114203)
(115597, 115601, 115603)
(115777, 115781, 115783)
(115873, 115877, 115879)
(115877, 115879, 115883)
(116531, 116533, 116537)
(116533, 116537, 116539)
(116923, 116927, 116929)
(116927, 116929, 116933)
(117037, 117041, 117043)
(117497, 117499, 117503)
(117877, 117881, 117883)
(117973, 117977, 117979)
(118247, 118249, 118253)
(118897, 118901, 118903)
(118901, 118903, 118907)
(119083, 119087, 119089)
(119291, 119293, 119297)
(119293, 119297, 119299)
(119653, 119657, 119659)
(120937, 120941, 120943)
(120941, 120943, 120947)
(121061, 121063, 121067)
(121631, 121633, 121637)
(122027, 122029, 122033)
(122201, 122203, 122207)
(122203, 122207, 122209)
(122321, 122323, 122327)
(122387, 122389, 122393)
(122497, 122501, 122503)
(123373, 123377, 123379)
(123547, 123551, 123553)
(123727, 123731, 123733)
(123731, 123733, 123737)
(124297, 124301, 124303)
(124337, 124339, 124343)
(124427, 124429, 124433)
(124777, 124781, 124783)
(125113, 125117, 125119)
(125927, 125929, 125933)
(126223, 126227, 126229)
(126227, 126229, 126233)
(126487, 126491, 126493)
(127031, 127033, 127037)
(128657, 128659, 128663)
(128831, 128833, 128837)
(128981, 128983, 128987)
(129287, 129289, 129293)
(129527, 129529, 129533)
(129587, 129589, 129593)
(130363, 130367, 130369)
(131707, 131711, 131713)
(131777, 131779, 131783)
(132523, 132527, 132529)
(132527, 132529, 132533)
(132757, 132761, 132763)
(132857, 132859, 132863)
(132947, 132949, 132953)
(133277, 133279, 133283)
(134087, 134089, 134093)
(134287, 134291, 134293)
(134587, 134591, 134593)
(134591, 134593, 134597)
(134677, 134681, 134683)
(134917, 134921, 134923)
(135277, 135281, 135283)
(135347, 135349, 135353)
(135427, 135431, 135433)
(135461, 135463, 135467)
(135463, 135467, 135469)
(136393, 136397, 136399)
(136397, 136399, 136403)
(136601, 136603, 136607)
(136987, 136991, 136993)
(137867, 137869, 137873)
(138401, 138403, 138407)
(138793, 138797, 138799)
